crop_type,soil_moisture,temperature,humidity,canal_level,wind_speed,crop_age_days,predicted_moisture_6h,water_need_code
Chilli,20.26,38.06,73.17,49.85,0.8,27.8,7.62,2
Maize,44.45,33.66,70.82,62.86,7.77,51.5,25.16,2
Groundnut,61.81,24.92,70.27,93.09,7.9,77.3,50.42,0
Groundnut,73.67,39.4,54.23,70.48,4.49,34.9,56.3,0
Rice,54.61,35.31,36.55,32.9,2.66,61.0,39.53,1
Tomato,59.81,33.48,59.3,86.25,0.07,73.0,46.82,1
Tomato,27.41,24.46,37.5,14.96,0.12,90.5,17.04,2
Groundnut,17.6,30.26,60.79,34.51,3.1,20.0,7.84,2
Chilli,70.42,36.45,60.52,19.73,6.26,105.4,49.97,1
Cotton,26.69,37.21,44.83,50.23,7.54,60.2,15.64,2
Cotton,21.38,31.23,78.13,67.32,1.24,74.0,13.01,2
Cotton,80.63,30.46,73.73,57.79,3.9,113.4,68.36,0
Rice,82.45,33.95,65.77,83.01,4.01,28.5,67.59,0
Rice,58.14,30.56,85.92,61.07,3.04,107.3,50.1,0
Maize,41.5,28.35,50.8,30.94,4.32,98.5,24.91,2
Maize,73.33,21.71,49.41,58.28,7.4,119.3,58.44,0
Cotton,29.33,22.52,45.09,76.19,3.51,53.2,19.18,2
Rice,45.06,35.21,64.94,55.27,1.1,24.0,35.15,1
Maize,39.99,20.49,46.29,49.78,5.32,11.6,34.15,1
Tomato,78.89,21.05,82.79,57.62,0.25,97.2,73.35,0
Tomato,79.38,38.09,51.74,59.33,7.52,25.0,58.84,0
Tomato,60.56,34.08,62.0,37.95,7.52,43.7,37.05,1
Tomato,22.75,20.08,64.12,86.88,0.74,118.6,15.3,2
Chilli,48.75,26.24,51.92,28.69,4.41,58.6,37.42,1
Maize,32.17,35.27,75.61,12.95,6.38,35.4,16.64,2
Maize,76.94,28.35,73.06,76.73,3.72,92.9,68.29,0
Maize,24.69,29.38,76.84,85.81,3.83,39.9,10.37,2
Cotton,18.8,29.18,68.33,67.85,7.76,68.4,6.2,2
Groundnut,64.31,24.04,60.31,52.21,1.84,27.3,58.63,0
Chilli,46.73,34.43,59.69,97.77,4.21,60.7,31.08,1
Chilli,73.69,22.06,74.41,43.37,0.92,21.9,70.68,0
Cotton,20.22,30.15,55.74,46.53,2.42,95.0,10.64,2
Cotton,71.08,23.4,59.05,63.2,6.81,50.2,60.28,0
Rice,17.61,20.93,44.0,48.74,5.73,45.1,7.12,2
Groundnut,16.96,22.86,72.38,59.98,4.9,119.3,13.0,2
Rice,47.29,37.39,39.23,96.99,0.91,101.3,29.29,2
Maize,30.49,23.52,89.48,31.37,6.81,70.9,19.59,2
Chilli,56.56,25.57,42.91,23.37,2.38,113.9,45.14,1
Maize,16.81,22.76,56.06,48.12,4.28,33.3,6.22,2
Tomato,17.48,34.71,48.08,55.36,1.87,73.1,5.0,2
Groundnut,65.9,28.91,50.99,74.19,4.17,112.2,58.2,0
Rice,29.71,38.87,52.73,95.97,4.5,72.7,12.48,2
Tomato,60.95,33.29,74.51,71.98,2.72,43.9,48.87,1
Groundnut,67.49,30.63,44.72,98.85,4.05,99.3,49.51,1
Cotton,19.15,33.13,49.51,32.17,3.25,25.3,10.06,2
Rice,68.88,20.81,40.57,28.8,5.58,26.7,55.65,0
Cotton,33.79,39.01,53.23,37.59,4.35,90.4,16.0,2
Groundnut,42.27,39.13,86.77,80.84,7.02,17.6,27.29,2
Rice,21.06,25.52,55.91,26.79,0.4,15.6,15.92,2
Maize,73.7,32.57,77.75,27.66,0.21,51.7,61.52,0
Maize,54.25,24.04,60.39,47.06,1.51,53.8,45.95,1
Rice,50.33,30.95,59.73,38.58,0.95,61.7,37.24,1
Tomato,82.8,35.42,80.32,68.18,4.21,91.5,66.63,0
Tomato,38.42,38.8,36.48,90.12,1.6,72.6,16.83,2
Tomato,77.35,26.78,82.57,22.48,0.13,88.5,69.23,0
Maize,65.38,33.87,61.69,59.21,2.26,15.5,54.43,0
Maize,80.0,34.33,54.31,17.96,4.07,44.7,65.46,0
Tomato,78.55,24.42,84.88,29.93,5.71,116.3,69.58,0
Tomato,84.37,32.58,53.69,37.82,3.51,57.1,68.66,0
Tomato,24.22,33.11,88.77,62.12,7.7,34.5,11.01,2
Cotton,70.72,35.28,86.5,59.94,1.6,119.1,60.93,0
Tomato,71.31,40.0,49.74,67.88,4.11,55.2,49.53,1
Groundnut,60.11,20.8,53.73,83.7,2.03,62.7,54.94,0
Chilli,34.52,24.05,79.67,26.85,6.45,34.6,24.47,2
Cotton,82.56,22.9,45.76,76.9,1.5,82.2,75.01,0
Chilli,29.31,23.09,75.26,70.03,7.69,32.8,21.42,2
Tomato,49.97,29.08,42.1,17.17,5.73,77.1,35.15,1
Chilli,51.5,37.57,46.31,41.02,4.45,93.3,30.1,1
Tomato,26.33,28.97,62.53,12.49,4.26,81.8,14.65,2
Rice,65.58,33.37,76.02,18.12,2.9,19.9,53.05,0
Tomato,21.22,27.53,75.67,35.54,0.17,18.8,14.07,2
Tomato,63.52,26.39,68.49,31.88,7.32,102.7,47.99,1
Rice,74.4,36.68,49.97,91.02,6.36,109.5,56.65,0
Rice,39.46,33.11,57.85,90.44,1.08,24.9,30.5,1
Groundnut,64.66,27.02,48.54,62.01,0.98,51.3,56.64,0
Chilli,25.97,38.28,50.24,76.15,2.46,81.9,7.79,2
Maize,74.22,29.97,52.78,99.96,6.11,101.9,59.07,0
Groundnut,81.64,23.77,67.94,46.92,4.03,110.0,72.59,0
Tomato,25.69,29.66,46.42,57.02,5.23,86.9,11.62,2
Maize,63.43,33.49,37.34,68.6,0.05,26.2,47.19,1
Groundnut,50.41,27.34,73.09,92.85,7.39,94.5,37.02,1
Chilli,52.2,36.88,36.2,81.73,1.33,104.5,33.69,1
Maize,64.45,30.66,88.39,15.8,2.55,48.6,58.83,0
Tomato,49.21,29.36,54.27,74.17,7.58,64.4,31.79,1
Rice,57.02,37.17,35.36,32.67,5.86,28.3,38.97,1
Rice,31.16,29.26,83.65,32.94,4.09,43.5,20.16,2
Rice,41.5,28.29,67.99,59.25,6.9,105.7,28.17,2
Cotton,75.57,22.07,79.96,72.67,0.49,19.8,74.76,0
Chilli,22.69,27.25,58.93,24.33,0.61,93.9,15.62,2
Maize,56.83,27.94,54.48,38.31,1.24,20.7,47.14,1
Cotton,27.9,23.61,71.04,74.45,2.12,42.2,21.42,2
Rice,74.26,31.76,57.33,23.68,5.67,74.1,60.82,0
Tomato,55.53,22.88,65.59,86.47,4.26,10.4,44.48,1
Maize,43.21,24.47,50.28,51.04,3.41,84.3,35.28,1
Groundnut,32.49,31.22,53.3,62.74,6.26,44.8,15.76,2
Chilli,45.58,25.38,39.52,17.24,2.54,92.3,33.52,1
Groundnut,82.03,32.79,77.98,95.91,0.68,117.3,72.22,0
Tomato,50.64,33.81,54.19,91.68,3.17,55.8,36.04,1
Groundnut,47.86,26.03,88.62,27.11,6.13,13.3,40.86,1
Rice,67.24,21.75,49.29,69.68,3.79,103.4,58.56,0
Tomato,41.53,29.79,61.13,81.38,7.82,40.2,26.5,2
Chilli,44.92,21.86,51.8,20.98,6.85,26.3,35.52,1
Rice,38.59,30.3,73.17,61.97,6.33,106.7,29.75,2
Groundnut,25.56,34.52,79.46,86.54,6.19,35.6,10.07,2
Groundnut,64.97,32.41,61.79,55.6,4.65,76.6,47.67,1
Chilli,76.11,28.97,55.18,93.14,7.21,37.9,57.49,0
Tomato,78.39,38.92,75.96,14.3,4.72,88.4,56.31,0
Rice,76.66,22.03,45.53,92.73,2.98,81.4,66.0,0
Chilli,46.62,37.6,67.97,97.95,1.57,66.0,28.35,2
Chilli,34.88,36.0,75.35,24.03,6.5,71.1,16.3,2
Cotton,59.65,28.39,49.81,48.79,2.97,35.0,52.31,0
Chilli,81.83,23.06,71.06,65.87,6.33,12.4,74.11,0
Rice,65.89,23.12,75.44,90.39,7.86,98.1,55.17,0
Rice,49.64,38.44,41.46,24.36,3.19,107.8,31.21,1
Cotton,63.22,24.67,52.81,40.06,2.73,95.6,59.23,0
Rice,69.08,37.48,57.35,81.81,1.36,87.9,56.33,0
Groundnut,79.35,30.07,77.68,46.9,3.8,61.9,69.65,0
Rice,68.43,29.23,66.21,64.44,5.23,74.2,57.41,0
Cotton,45.32,32.39,59.73,60.4,2.5,86.1,34.17,1
Groundnut,34.15,24.3,52.53,97.59,3.89,12.9,29.62,2
Maize,49.99,28.57,35.22,22.74,4.3,56.6,35.38,1
Rice,37.97,38.77,36.11,95.36,2.2,34.7,22.21,2
Groundnut,80.99,24.77,48.22,60.77,0.19,50.1,70.26,0
Tomato,50.56,38.43,41.42,91.37,1.72,92.4,29.54,2
Chilli,48.04,39.88,41.58,20.61,6.43,50.0,23.65,2
Groundnut,39.37,21.04,68.15,67.74,2.22,91.3,34.61,1
Cotton,59.76,30.63,68.3,85.61,0.11,116.9,49.94,1
Rice,51.4,23.44,37.46,80.82,3.4,111.6,41.01,1
Cotton,24.03,32.43,67.67,10.89,5.46,101.0,10.97,2
Rice,75.84,39.79,43.02,50.7,6.02,103.8,54.05,0
Cotton,40.13,37.94,55.75,20.38,3.31,53.3,24.59,2
Chilli,45.28,38.5,89.43,23.75,4.57,90.5,28.28,2
Tomato,29.4,24.27,63.71,73.57,5.96,83.4,17.81,2
Maize,53.74,30.85,36.88,96.09,7.11,118.1,34.83,1
Rice,64.14,24.7,54.12,67.07,5.12,73.2,52.47,0
Groundnut,76.68,37.99,71.9,19.21,5.53,57.3,60.62,0
Tomato,18.61,23.82,47.35,31.96,0.79,102.1,8.22,2
Tomato,83.13,23.08,88.04,44.1,3.36,92.5,74.46,0
Chilli,64.27,20.24,58.39,21.28,7.11,23.7,54.92,0
Cotton,34.9,23.64,36.16,86.32,1.29,75.6,30.76,1
Chilli,29.31,23.8,64.73,27.51,2.48,75.2,20.49,2
Chilli,35.73,21.55,72.19,21.66,5.42,79.5,24.09,2
Chilli,76.3,37.35,60.08,75.31,7.22,113.6,57.5,0
Groundnut,35.4,35.6,86.05,21.41,0.47,76.2,27.72,2
Maize,47.4,25.09,84.61,46.93,6.96,105.7,40.04,1
Cotton,64.4,35.67,42.64,56.4,1.76,49.4,51.94,0
Cotton,76.04,28.44,39.4,17.22,6.89,16.3,62.67,0
Groundnut,61.1,35.51,52.18,60.02,7.11,51.3,42.01,1
Groundnut,67.72,26.46,68.45,53.21,6.2,68.6,59.24,0
Cotton,27.13,31.29,68.09,70.16,7.39,101.7,17.94,2
Tomato,76.42,27.63,49.94,29.72,7.69,79.5,57.99,0
Cotton,34.3,23.75,87.31,42.1,7.4,58.6,22.39,2
Cotton,23.99,31.71,51.9,69.37,4.11,60.8,12.56,2
Tomato,83.34,35.02,79.23,13.2,3.71,119.6,65.88,0
Cotton,29.11,35.06,80.76,20.42,0.84,25.5,19.53,2
Tomato,24.57,27.13,40.41,35.52,1.73,32.6,12.39,2
Chilli,58.82,30.37,47.79,19.57,5.22,78.8,43.08,1
Cotton,37.32,35.28,46.84,13.56,1.02,87.2,23.7,2
Tomato,24.33,21.09,85.58,98.86,7.54,53.4,16.59,2
Maize,57.08,21.44,54.31,51.02,1.82,13.5,51.02,0
Cotton,68.13,27.52,81.01,58.03,0.7,67.4,58.1,0
Maize,70.52,24.47,61.29,32.94,1.88,25.9,64.55,0
Groundnut,25.89,27.49,60.15,10.69,0.39,16.2,17.76,2
Rice,53.98,21.88,84.69,77.57,1.33,47.9,48.44,1
Cotton,71.96,31.84,59.25,75.14,4.7,24.9,59.88,0
Cotton,26.28,33.43,75.97,97.53,2.31,58.3,17.5,2
Groundnut,29.54,35.84,58.34,11.9,6.41,93.8,12.4,2
Rice,15.17,33.01,40.6,22.33,3.24,15.2,5.0,2
Groundnut,51.72,27.93,37.92,74.09,5.71,65.0,38.57,1
Maize,28.63,38.7,46.45,39.71,5.67,64.7,6.49,2
Maize,65.7,34.53,74.72,15.74,1.09,10.2,49.41,1
Maize,82.35,30.55,55.55,37.09,0.45,91.2,71.31,0
Chilli,29.61,24.14,59.98,17.89,6.74,19.9,19.56,2
Chilli,60.44,32.98,40.6,85.38,5.61,112.5,40.06,1
Maize,29.83,31.83,69.27,88.92,1.4,80.3,20.08,2
Rice,16.26,33.67,79.19,67.32,5.44,41.7,5.0,2
Groundnut,68.1,35.62,69.36,44.7,2.64,111.8,53.5,0
Tomato,45.38,38.3,89.15,79.19,0.45,54.1,30.95,1
Rice,81.28,38.98,35.9,66.84,1.83,38.6,66.65,0
Chilli,52.4,32.6,35.86,81.28,6.05,52.3,31.3,1
Maize,26.02,39.32,62.5,55.98,3.13,77.3,13.13,2
Chilli,46.48,38.23,49.65,96.25,4.36,89.6,24.8,2
Groundnut,29.2,20.05,72.76,36.1,1.09,82.8,26.93,2
Rice,76.46,32.75,78.63,64.38,0.74,111.3,65.77,0
Tomato,63.36,23.57,40.63,82.72,1.91,115.2,54.55,0
Chilli,38.89,25.9,85.45,90.45,3.78,31.7,33.92,1
Cotton,51.95,25.95,36.65,95.21,6.78,110.4,38.93,1
Chilli,61.86,29.66,72.86,45.55,6.11,21.7,49.61,1
Maize,69.8,20.22,56.15,72.94,1.28,115.3,65.74,0
Chilli,20.61,24.72,71.71,36.12,0.57,38.5,15.18,2
Groundnut,16.58,20.58,40.37,68.44,1.8,39.2,7.87,2
Maize,23.01,33.01,86.54,26.58,6.82,56.4,9.85,2
Groundnut,42.65,37.79,86.56,47.93,4.13,30.0,28.31,2
Cotton,47.67,39.96,63.57,92.82,6.46,101.0,31.92,1
Tomato,24.55,28.97,63.03,82.98,2.96,23.7,11.89,2
Tomato,43.78,25.2,69.91,54.69,4.72,58.3,34.36,1
Cotton,45.91,37.06,66.9,23.22,4.76,109.8,28.64,2
Tomato,22.64,22.26,64.9,45.87,5.01,79.9,10.75,2
Maize,79.17,39.48,67.41,22.48,3.76,76.8,60.54,0
Tomato,56.94,34.3,82.22,16.17,1.91,119.4,43.12,1
Chilli,42.2,30.08,68.61,91.59,3.43,12.5,27.92,2
Tomato,50.48,21.93,45.77,54.23,7.8,45.2,35.79,1
Chilli,36.99,20.36,85.27,18.04,2.18,23.8,35.72,1
Groundnut,74.8,30.89,46.88,74.5,5.8,30.3,62.47,0
Cotton,55.25,28.28,44.08,16.68,7.56,33.8,38.18,1
Groundnut,49.64,36.85,89.84,45.65,4.53,79.0,35.23,1
Rice,78.76,32.85,46.74,30.73,3.91,39.9,67.96,0
Maize,73.66,28.64,40.51,24.82,0.97,83.1,62.49,0
Tomato,71.9,24.52,65.91,58.02,6.03,91.2,60.79,0
Groundnut,30.79,29.61,80.5,74.77,7.29,54.2,20.21,2
Cotton,25.72,23.26,38.34,53.85,7.85,69.0,12.82,2
Tomato,63.31,33.34,61.96,83.87,1.61,24.5,50.91,0
Chilli,47.8,32.11,38.77,92.56,7.36,92.8,28.18,2
Chilli,62.86,36.2,58.58,82.65,2.96,56.1,46.41,1
Maize,68.24,28.99,53.92,96.08,4.95,101.8,53.5,0
Maize,35.67,25.57,42.54,93.61,1.79,67.9,25.25,2
Rice,34.93,36.73,86.21,84.93,1.99,86.6,21.3,2
Maize,49.36,33.82,69.92,36.34,4.95,49.4,36.62,1
Maize,34.15,34.13,81.37,25.69,3.88,50.9,19.01,2
Cotton,61.71,30.56,84.83,75.43,7.72,58.0,49.85,1
Groundnut,67.27,37.52,86.16,86.1,2.12,80.0,56.28,0
Cotton,48.04,24.56,76.15,84.08,7.02,65.7,40.61,1
Rice,65.67,28.03,51.88,67.93,3.68,98.5,53.29,0
Groundnut,50.73,35.92,80.59,84.69,1.08,16.0,37.17,1
Maize,64.9,22.66,63.61,73.64,1.91,109.1,57.29,0
Maize,30.75,36.16,49.94,69.88,6.05,111.9,10.22,2
Groundnut,66.72,27.05,56.22,14.19,6.61,36.8,55.78,0
Groundnut,65.06,22.51,51.57,51.44,0.32,21.1,58.55,0
Rice,33.66,21.58,60.64,13.05,3.28,72.9,23.45,2
Maize,53.92,36.86,77.97,18.31,3.95,17.1,37.67,1
Cotton,74.87,35.57,61.67,58.69,4.92,35.3,61.66,0
Chilli,32.47,25.76,49.73,14.27,5.2,65.8,19.42,2
Tomato,66.52,22.33,39.81,92.19,6.64,77.5,50.55,0
Chilli,81.78,24.94,82.07,50.53,2.19,31.4,74.13,0
Groundnut,75.64,24.26,57.96,73.0,0.9,112.6,69.31,0
Tomato,43.11,34.66,59.31,23.3,1.49,29.9,31.38,1
Cotton,57.5,24.31,77.0,86.28,7.49,26.9,50.57,0
Cotton,84.42,24.32,81.73,53.03,4.37,27.9,78.48,0
Groundnut,54.79,20.65,63.11,60.29,1.75,112.2,47.45,1
Tomato,23.05,31.94,69.78,68.36,6.29,106.7,7.61,2
Tomato,18.18,33.78,48.15,58.59,4.7,13.6,5.0,2
Chilli,70.32,33.07,86.43,60.69,2.94,89.9,59.73,0
Chilli,44.65,31.37,66.24,77.01,0.15,18.1,36.7,1
Maize,32.28,39.32,74.58,82.58,6.26,18.3,16.28,2
Cotton,39.34,29.45,41.28,37.55,5.74,18.4,26.86,2
Cotton,68.02,37.2,70.03,92.98,2.1,101.3,55.29,0
Tomato,47.57,32.92,55.29,41.85,2.12,57.0,29.86,2
Cotton,75.79,21.68,59.75,34.51,2.17,71.3,70.25,0
Tomato,66.44,36.2,72.52,38.03,5.36,13.4,50.24,0
Maize,83.18,31.69,78.8,42.27,2.35,109.1,69.15,0
Rice,77.2,33.07,54.22,38.52,2.48,118.0,68.63,0
Maize,32.82,23.6,83.03,85.94,3.01,35.9,28.52,2
Groundnut,61.13,28.75,47.04,60.5,7.84,82.2,44.12,1
Maize,16.44,37.61,65.96,97.09,3.68,84.7,5.0,2
Cotton,84.38,24.31,43.32,17.56,3.02,116.3,74.28,0
Rice,33.27,20.0,50.91,65.26,3.76,63.2,27.99,2
Chilli,61.54,25.15,84.25,18.64,5.75,36.2,52.85,0
Maize,74.44,29.75,35.64,51.3,7.07,49.6,56.88,0
Cotton,26.23,36.43,85.36,44.45,7.93,80.4,12.32,2
Groundnut,74.35,32.87,53.06,71.27,3.89,62.0,63.33,0
Chilli,15.86,38.38,73.27,77.09,3.68,18.7,5.0,2
Rice,45.94,29.11,40.04,31.43,2.64,98.8,33.33,1
Maize,48.04,27.82,70.27,27.43,6.23,105.1,31.31,1
Rice,41.19,24.63,85.02,47.76,5.24,62.6,34.71,1
Maize,56.05,24.36,65.54,31.78,2.91,67.6,45.42,1
Rice,79.04,34.72,54.92,70.9,4.15,64.1,65.99,0
Chilli,37.89,21.61,78.65,56.59,1.65,68.3,31.58,1
Tomato,55.55,24.85,74.2,84.43,5.55,21.3,45.02,1
Tomato,76.42,37.72,41.47,98.31,2.02,57.7,56.38,0
Rice,69.11,31.54,71.61,44.03,2.8,59.3,61.05,0
Groundnut,17.85,20.93,71.56,92.08,0.54,119.7,9.54,2
Groundnut,81.0,34.09,76.36,79.95,1.76,15.4,72.45,0
Cotton,18.27,30.13,52.4,23.42,1.56,44.3,9.98,2
Rice,56.21,37.09,57.07,85.23,5.88,64.6,39.87,1
Maize,55.27,33.65,87.8,53.34,5.56,103.2,40.8,1
Groundnut,70.05,20.09,66.54,73.82,4.31,60.7,64.82,0
Chilli,25.39,24.11,62.97,73.24,3.1,42.0,15.85,2
Rice,27.56,25.16,89.28,89.74,7.12,68.9,18.41,2
Rice,67.65,34.04,47.63,78.5,7.07,42.7,51.88,0
Tomato,25.47,30.19,56.89,84.22,4.82,70.3,13.95,2
Groundnut,47.86,34.95,76.79,38.88,5.26,85.9,30.73,1
Tomato,66.22,30.26,74.22,97.58,6.37,68.4,52.97,0
Groundnut,60.59,26.55,88.17,69.54,5.78,77.1,51.49,0
Cotton,29.74,22.07,70.99,79.63,1.8,14.3,25.71,2
Groundnut,36.28,24.05,52.22,87.3,4.03,82.5,23.37,2
Cotton,82.83,28.02,56.87,21.14,1.22,116.7,70.67,0
Tomato,46.41,31.03,39.93,40.28,6.48,64.1,28.62,2
Cotton,18.11,38.77,85.8,85.23,5.23,98.3,5.0,2
Tomato,30.37,24.79,42.08,92.98,7.83,70.4,16.76,2
Tomato,38.97,33.32,65.01,78.05,1.09,87.4,23.48,2
Tomato,84.96,23.05,57.08,53.41,4.08,44.1,76.6,0
Rice,36.19,34.28,42.38,32.6,5.79,116.4,18.03,2
Rice,16.85,20.23,51.11,57.25,6.94,33.7,7.1,2
Tomato,50.9,33.12,69.85,45.76,6.83,27.5,33.17,1
Rice,20.85,23.26,36.72,89.71,1.62,15.0,14.12,2
Maize,34.18,23.61,88.13,61.05,7.86,69.5,26.65,2
Rice,84.47,31.18,85.0,45.29,7.85,78.1,71.59,0
Rice,64.32,27.51,39.65,54.86,7.75,81.4,51.0,0
Groundnut,18.55,29.43,82.76,94.02,4.91,28.9,9.24,2
Rice,46.41,26.18,53.07,65.19,6.66,81.7,31.79,1
Rice,27.01,39.07,38.71,30.61,0.61,28.2,12.92,2
Rice,23.61,25.81,51.84,55.01,2.04,93.0,13.82,2
Rice,56.09,30.84,79.49,51.91,0.74,40.3,43.46,1
Chilli,50.4,37.09,71.62,37.94,4.04,56.4,33.01,1
Cotton,67.0,33.28,48.12,76.27,7.72,50.4,49.37,1
Cotton,77.46,26.46,74.55,34.15,5.19,50.4,67.29,0
Chilli,32.27,31.05,73.93,54.33,3.69,89.3,18.62,2
Rice,79.61,21.66,75.86,49.69,6.34,119.8,71.3,0
Cotton,51.26,30.91,64.74,52.02,4.4,68.0,39.29,1
Rice,33.12,28.63,80.04,61.01,3.66,54.1,25.82,2
Chilli,74.21,35.16,70.27,71.5,5.03,42.3,57.94,0
Maize,17.49,36.96,41.9,22.87,4.09,78.7,5.0,2
Groundnut,54.17,23.99,79.56,35.95,5.13,59.6,46.72,1
Tomato,65.51,21.63,52.81,79.56,6.42,95.0,55.92,0
Chilli,34.6,27.81,73.78,91.7,3.7,76.7,19.36,2
Maize,75.44,30.68,72.13,14.02,3.32,55.3,67.05,0
Chilli,31.82,27.54,53.48,16.6,4.47,114.8,16.15,2
Groundnut,73.79,32.57,43.89,94.04,7.24,11.2,56.35,0
Cotton,20.5,30.11,73.22,23.31,3.38,85.8,10.71,2
Maize,26.19,38.73,81.7,98.14,6.78,55.2,7.54,2
Maize,41.67,28.19,81.1,84.54,4.94,23.4,30.37,1
Cotton,74.78,21.65,69.46,20.86,0.1,20.2,73.81,0
Maize,25.12,26.04,47.51,19.23,3.81,81.4,13.67,2
Tomato,76.28,32.12,52.39,97.96,1.68,26.3,59.21,0
Maize,31.08,25.12,76.5,32.93,1.2,104.2,25.44,2
Rice,46.68,25.38,57.6,58.48,1.88,44.2,40.27,1
Tomato,39.69,26.79,75.29,31.26,5.7,47.8,25.66,2
Maize,23.27,34.92,52.02,64.06,5.02,82.6,6.56,2
Cotton,81.1,38.8,35.35,85.6,4.29,34.2,66.82,0
Cotton,45.67,27.01,68.19,69.12,3.96,10.8,35.32,1
Tomato,63.32,23.91,68.05,14.2,3.11,59.0,55.53,0
Maize,55.27,28.41,69.52,63.57,7.09,68.1,41.02,1
Rice,50.12,27.04,49.75,69.49,7.46,59.0,38.43,1
Cotton,58.16,39.8,79.61,28.08,6.12,60.4,42.44,1
Tomato,77.88,29.28,61.81,78.59,2.31,83.2,67.76,0
Cotton,63.95,33.59,76.93,66.42,7.31,103.0,50.78,0
Groundnut,52.27,38.28,68.61,10.86,6.55,50.2,34.25,1
Cotton,60.16,32.58,57.88,95.55,0.99,96.9,48.59,1
Tomato,57.45,24.99,72.38,50.1,2.73,16.9,51.87,0
Groundnut,45.32,32.15,66.62,30.91,2.62,62.8,32.46,1
Cotton,58.73,28.04,63.09,17.76,5.84,51.4,51.15,0
Chilli,46.05,28.45,70.67,43.7,4.19,61.3,34.78,1
Groundnut,68.03,39.59,39.73,37.7,2.14,20.1,48.55,1
Groundnut,82.82,25.57,85.06,36.82,1.85,25.3,77.88,0
Rice,82.19,29.38,53.43,81.39,3.66,42.3,71.37,0
Groundnut,72.45,23.2,47.36,68.13,5.33,40.1,59.68,0
Cotton,57.12,23.57,77.45,21.97,4.07,52.4,51.53,0
Tomato,67.45,32.07,47.72,73.73,2.09,60.3,53.76,0
Tomato,27.46,35.02,89.77,75.11,4.96,34.3,16.14,2
Cotton,48.53,32.73,58.13,56.28,7.99,78.1,36.9,1
Tomato,33.01,26.59,51.31,99.62,1.41,51.3,27.44,2
Maize,15.24,21.19,38.41,35.51,4.23,16.6,6.24,2
Cotton,82.67,29.41,37.3,15.26,3.01,36.8,73.23,0
Chilli,75.47,30.09,40.23,12.59,1.75,71.6,59.87,0
Groundnut,50.96,35.41,35.28,38.85,7.0,76.8,35.45,1
Rice,32.79,32.81,52.99,54.81,7.66,98.0,14.84,2
Tomato,63.51,37.43,52.07,17.04,2.8,37.0,49.61,1
Groundnut,45.44,35.66,58.66,60.92,2.78,71.8,34.58,1
Chilli,71.23,27.32,47.81,91.08,0.73,62.4,58.77,0
Tomato,84.97,32.64,38.45,81.72,4.94,103.3,67.75,0
Tomato,39.44,34.95,38.91,70.52,0.21,90.3,23.65,2
Maize,32.11,39.14,45.02,69.56,3.97,24.5,13.09,2
Chilli,33.72,28.45,52.41,75.73,1.22,115.5,20.83,2
Tomato,21.53,32.97,43.14,54.48,5.38,49.1,5.0,2
Chilli,42.58,27.85,55.08,46.16,7.43,115.0,26.57,2
Maize,16.22,34.76,85.72,37.6,0.71,41.4,9.44,2
Chilli,23.01,38.24,49.39,18.97,6.22,61.6,5.0,2
Rice,34.02,38.38,44.26,60.59,6.64,70.6,13.9,2
Chilli,26.19,23.14,71.56,52.53,1.41,17.0,22.4,2
Groundnut,66.25,24.08,62.0,20.7,7.38,88.7,51.46,0
Rice,22.39,35.1,37.6,34.14,4.97,21.5,6.0,2
Tomato,75.62,32.62,78.33,80.85,4.28,28.1,62.32,0
Cotton,30.48,38.1,74.34,33.0,5.37,41.9,18.98,2
Chilli,22.6,26.28,88.75,48.31,2.3,115.7,18.0,2
Cotton,15.71,36.96,86.61,24.52,0.2,117.0,6.5,2
Chilli,65.06,33.68,67.13,25.29,3.54,63.8,49.54,1
Cotton,32.96,23.91,72.73,78.07,5.95,68.7,24.12,2
Chilli,50.66,22.53,57.52,16.0,7.35,33.3,40.95,1
Rice,22.81,34.05,83.87,35.65,3.44,56.0,11.83,2
Cotton,83.97,23.17,65.4,98.28,2.11,118.3,76.61,0
Maize,23.78,35.89,52.91,52.83,1.05,97.0,10.66,2
Rice,43.83,31.14,35.52,64.56,7.48,86.7,29.57,2
Maize,74.62,29.54,67.25,67.67,1.85,40.6,63.17,0
Maize,32.14,25.51,63.9,27.65,7.29,93.9,16.63,2
Rice,33.69,39.68,79.65,43.24,1.47,116.3,19.89,2
Groundnut,71.59,34.44,45.29,46.06,0.15,118.7,55.26,0
Tomato,34.13,35.56,79.85,30.76,1.79,76.0,18.11,2
Tomato,15.2,35.37,35.84,31.06,3.94,27.7,5.0,2
Maize,44.95,31.68,67.3,64.71,2.79,116.0,34.18,1
Cotton,15.88,38.79,56.83,19.76,7.26,69.6,5.0,2
Cotton,78.69,31.68,53.23,21.62,4.36,14.2,72.93,0
Cotton,59.93,30.4,58.83,61.6,0.94,19.0,50.82,0
Tomato,55.81,25.47,47.3,50.44,5.0,73.5,45.1,1
Groundnut,29.11,25.63,45.09,65.07,3.11,101.9,18.98,2
Cotton,64.0,34.74,79.28,12.43,5.43,113.6,50.76,0
Maize,62.41,26.7,47.53,73.44,6.29,113.9,47.6,1
Chilli,19.23,34.57,75.53,86.49,7.88,73.6,5.0,2
Rice,76.66,39.05,74.12,57.17,4.61,118.0,61.38,0
Cotton,55.56,28.79,36.84,85.68,2.93,26.5,47.43,1
Groundnut,70.47,21.95,83.46,45.97,3.47,20.4,65.5,0
